题号,题目,类型,难度,介绍,思路,第一轮完成情况,第二轮完成情况,题目链接
49,字母异位词分组,哈希表,medium,给定一个字符串数组，将字母异位词组合在一起。字母异位词指字母相同，但排列不同的字符串。,送分题。直接对每个字符串按字典序排序然后放到哈希表里即可,√√,,https://leetcode-cn.com/problems/group-anagrams/
50,"Pow(x, n)",二分查找,medium,"实现pow(x, n)",快速幂算法。根据x^n = x^(n/2) * x^(n/2)，递归也可。,×,,https://leetcode-cn.com/problems/powx-n/
54,螺旋矩阵,数组,medium,"给定一个包含 m x n 个元素的矩阵（m 行, n 列），请按照顺时针螺旋顺序，返回矩阵中的所有元素。",按层向内循环即可。还有一种较好的解法是按顺序遍历每条边，以“上、右、下、左’的顺序，每次遍历完一条边，就把这条边向内缩一次。对逆时针也很好解决。,√√,,https://leetcode-cn.com/problems/spiral-matrix/
55,跳跃游戏,贪心算法、数组,medium,"给定一个非负整数数组，你最初位于数组的第一个位置。
数组中的每个元素代表你在该位置可以跳跃的最大长度。
判断你是否能够到达最后一个位置。",就是简单的贪心算法，当遇到0的时候，看0前边的数够不够跳过这些0就行了,√√,,https://leetcode-cn.com/problems/jump-game/
56,合并区间,排序、数组,medium,"给出一个区间的集合，请合并所有重叠的区间。
输入: [[1,4],[4,5]]
输出: [[1,5]]
解释: 区间 [1,4] 和 [4,5] 可被视为重叠区间。",没什么说的，直接按区间的第一个数排序，再逐个把能合并的合并就行了。,√√,,https://leetcode-cn.com/problems/merge-intervals/
59,螺旋矩阵II,数组,medium,给定一个正整数 n，生成一个包含 1 到 n^2 所有元素，且元素按顺时针顺序螺旋排列的正方形矩阵。,跟前边的54其实一样，怎么都要n^2的时空复杂度，按边一条一条顺时针生成就行了。其实把54题的代码少做改动即可。,√√,,https://leetcode-cn.com/problems/spiral-matrix-ii/
61,旋转链表,链表、双指针,medium,给定一个链表，旋转链表，将链表每个节点向右移动 k 个位置，其中 k 是非负数。,直接将链表首尾相连，然后从head开始往后走k % length 步，再将环断开即可。依然是链表的基本操作，考察熟练性而已。,√√,,https://leetcode-cn.com/problems/rotate-list/
62,不同路径,动态规划,medium,"一个机器人位于一个 m x n 网格的左上角 （起始点在下图中标记为“Start” ）。
机器人每次只能向下或者向右移动一步。机器人试图达到网格的右下角（在下图中标记为“Finish”）。",从左上到右下做动态规划即可，dpMatrix中储存的数字为从起点到该点一共有多少种走法。,√√,,https://leetcode-cn.com/problems/unique-paths/
63,不同路径II,动态规划,medium,在上一题基础上增加了障碍物,其实跟上一题几乎没有区别，碰到障碍物不算即可。,√√,,https://leetcode-cn.com/problems/unique-paths-ii/
64,最小路径和,动态规划,medium,给定一个包含非负整数的 m x n 网格，请找出一条从左上角到右下角的路径，使得路径上的数字总和为最小。,非常直白的动态规划题，每步从上边和右边找能使当前更小的就行了。,√√,,https://leetcode-cn.com/problems/minimum-path-sum/
73,矩阵置零,数组,medium,给定一个 m x n 的矩阵，如果一个元素为 0，则将其所在行和列的所有元素都设为 0。请使用原地算法。,"1. 可以将即将需要被设置为0的点一个特殊标记（极大或极小的数）但是  对c++很不友好。
2. 将需要设置为0的行或列的行首或者列首置0以作为标记。",√,,https://leetcode-cn.com/problems/set-matrix-zeroes/
75,颜色分类,排序、数组、双指针,medium,"给定一个包含红色、白色和蓝色，一共 n 个元素的数组，原地对它们进行排序，使得相同颜色的元素相邻，并按照红色、白色、蓝色顺序排列。
能否想出只用常数空间的一趟扫描法？",直接哈希表存一下不就行？？？,√,,https://leetcode-cn.com/problems/sort-colors/
78,子集,位运算、数组、回溯,medium,给定一组不含重复元素的整数数组 nums，返回该数组所有可能的子集（幂集）。,套模板直接回溯就行了。,√√,,https://leetcode-cn.com/problems/subsets/
79,单词搜索,数组、回溯算法,medium,给定一个二维网格和一个单词，找出该单词是否存在于网格中。,直接套回溯算法模板,√√,,https://leetcode-cn.com/problems/word-search/
82,删除排序链表中的重复元素II,链表,medium,给定一个排序链表，删除所有含有重复数字的节点，只保留原始链表中 没有重复出现 的数字。,dummyHead大法。先哈希表存下来所有重复出现过的数字，再遍历一遍链表，将有重复的跳过即可。  ,√√,,https://leetcode-cn.com/problems/remove-duplicates-from-sorted-list-ii/
86,分隔链表,链表、双指针,medium,"给定一个链表和一个特定值 x，对链表进行分隔，使得所有小于 x 的节点都在大于或等于 x 的节点之前。
要求保留两个分区中每个节点的初始相对位置。","其实就是快速排序中的partition操作。
但是这道题一种简单的实现方式是先找到左半部分，再找到右半部分，最后拼接到一起",√,,https://leetcode-cn.com/problems/partition-list/
89,格雷编码,回溯算法,medium,"格雷编码是一个二进制数字系统，在该系统中，两个连续的数值仅有一个位数的差异。
给定一个代表编码总位数的非负整数 n，打印其格雷编码序列。格雷编码序列必须以 0 开头。",根据规律为：每次将现有的所有数末尾加一个0， 再从后往前遍历现有的数，每个数加1，存到现有数组中，以此类推,×,,https://leetcode-cn.com/problems/gray-code/
91,解码方法,动态规划,medium,"题干略
输入: ""226""
输出: 3
解释: 它可以解码为 ""BZ"" (2 26), ""VF"" (22 6), 或者 ""BBF"" (2 2 6) 。","动态规划。比较容易，公式为dp[i] = dp[i-1]+dp[i-2]，如果s(i)和s(i-1,i)均为合法数字的情况下。需要注意的是当字符串以0开头或中间的某个0前的数大于2，则无法解码。",√√,,https://leetcode-cn.com/problems/decode-ways/
94,二叉树的中序遍历,树、栈,medium,给定一个二叉树，返回它的中序 遍历。,"1. 递归，很简单，先左后中最后右。类似回溯算法
2. 迭代。用栈辅助，每次一直将左节点压入栈中，遍历完当前节点再去遍历右子节点，继续将右子节点的左节点不断压栈",√,,https://leetcode-cn.com/problems/binary-tree-inorder-traversal/
96,不同的二叉搜索树,树、动态规划,medium,给定一个整数 n，求以 1 ... n 为节点组成的二叉搜索树有多少种？,"long C = 1;
for(int I = 0; I < n; i++){
    C = C * 2 * (2 * I + 1) / (I + 2);
}
其实本质上是一道数学问题，叫做”卡塔兰数“，感觉没什么价值",×,,https://leetcode-cn.com/problems/unique-binary-search-trees/
98,验证二叉搜索树,树、DFS,medium,给定一个二叉树，判断其是否是一个有效的二叉搜索树。,这里不能想当然的认为对每个节点单独判断，root.val > root.left.val && root.val < root.right.val就行了，因为右子树也可能有小于root的数，所以在递归的时候，要跟踪记录该节点应该满足的上界和下界。左子树的上界为root.val，右子树的下界为root.val，任何越界的值都不行,×,,https://leetcode-cn.com/problems/validate-binary-search-tree/
102,二叉树的层次遍历,树、广度优先搜索,medium,给定一个二叉树，返回其按层次遍历的节点值。 （即逐层地，从左到右访问所有节点）。,"1. 按层遍历，直接用数组存每一层的节点
2. 用队列实现一个BFS，同时要存每个节点的深度",√√,,https://leetcode-cn.com/problems/binary-tree-level-order-traversal/
103,二叉树的锯齿形层次遍历,栈、树、广度优先搜索,medium,给定一个二叉树，返回其节点值的锯齿形层次遍历。（即先从左往右，再从右往左进行下一层遍历，以此类推，层与层之间交替进行）。,正常按层次遍历，然后输出时一行正一行反就行了,√√,,https://leetcode-cn.com/problems/binary-tree-zigzag-level-order-traversal/
105,从前序和中序遍历中构造二叉树,树、深度优先搜索、数组,medium,如题，树中没有重复元素。,递归实现，有点像分治法、从前序遍历拿到根节点，从中序遍历拿到左子树和右子树，一点一点向下递归即可,√√,,https://leetcode-cn.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/
109,将有序链表转换为二叉搜索树,深度优先搜索、链表,medium,给定一个单链表，其中的元素按升序排序，将其转换为高度平衡的二叉搜索树。,"注意这里要求了高度要平衡，因此不能直接返回链表头结点（因为链表本身其实相当于一个有偏的BFS了）
相当于给定了中序遍历的结果，求原BFS。其实用之前的快慢指针法，每次找到中间的节点作为根节点，再递归遍历左右半部分即可。",√√,,https://leetcode-cn.com/problems/convert-sorted-list-to-binary-search-tree/
113,路径总和II,树、深度优先搜索、数组,medium,给定一个二叉树和一个目标和，找到所有从根节点到叶子节点路径总和等于给定目标和的路径。,"这个题中的”路径“定义为从根到叶子节点的路径，而不是之前的那种从任意节点开始从任意节点结束的路径。
直接向下做回溯算法即可，随时剪枝",√√,,https://leetcode-cn.com/problems/path-sum-ii/
114,二叉树展开为链表,树、DFS,medium,给定一个二叉树，原地将它展开为链表。,将右子节点暂存，左子节点拿到右子节点处，递归展开当前的右子节点（原先的左子节点），然后将递归展开后的temp节点（原先的右子节点）接到当前右边的尾巴处，这个尾巴每次都需要从根节点递归向下查找.,√√,,https://leetcode-cn.com/problems/flatten-binary-tree-to-linked-list/
116,填充每个节点的下一个右侧节点指针,DFS,medium,"给定一个完美二叉树，其所有叶子节点都在同一层，每个父节点都有两个子节点。
填充它的每个 next 指针，让这个指针指向其下一个右侧节点。如果找不到下一个右侧节点，则将 next 指针设置为 NULL。
","直接递归做了。
对每个节点，连接其左右两个子节点，并连接左子节点的左右子节点，左子节点的右子节点和右子节点的左子节点，右子节点的左右子节点。即可。",√√,,https://leetcode-cn.com/problems/populating-next-right-pointers-in-each-node/
127,单词接龙,BFS,medium,"给定两个单词（beginWord 和 endWord）和一个字典，找到从 beginWord 到 endWord 的最短转换序列的长度。转换需遵循如下规则：
每次转换只能改变一个字母。
转换过程中的中间单词必须是字典中的单词。",先存下来哪些词能被转换为哪些词，用作查询字典。然后直接BFS在字典上搜就行了。,√√,,https://leetcode-cn.com/problems/word-ladder/
129,求根到叶子节点数字之和,树、深度优先搜索,medium,"给定一个二叉树，它的每个结点都存放一个 0-9 的数字，每条从根到叶子节点的路径都代表一个数字。 例如：路径 1->2->3 表示数字123
计算从根节点到叶子节点生成的所有数字之和。",还是回溯，搞一个Long long ans，每次遍历到叶子节点，把值拼上，加到全局ans里即可。如果太长的话可以考虑用字符串加法，字符串加法直接套模板即可。,√√,,https://leetcode-cn.com/problems/sum-root-to-leaf-numbers/
130,被围绕的区域,BFS、DFS、并查集,medium,"给定一个二维的矩阵，包含 'X' 和 'O'（字母 O）。
找到所有被 'X' 围绕的区域，并将这些区域里所有的 'O' 用 'X' 填充。
被围绕的区间不会存在于边界上",直接用BFS、以所有边界上的O为起点进行BFS，将不需要转换为X的O打上标记，这样其他剩下的O就是跟边界无任何连通的，将剩下的O置为X,√,,https://leetcode-cn.com/problems/surrounded-regions/
131,分割回文串,回溯算法,medium,给定一个字符串 s，将 s 分割成一些子串，使每个子串都是回文串。要求返回所有的分割方案。,回溯算法。,√√,,https://leetcode-cn.com/problems/palindrome-partitioning/
133,克隆图,图、DFS、BFS,medium,给定无向连通图中一个节点的引用，返回该图的深拷贝（克隆）。图中的每个节点都包含它的值 val（Int） 和其邻居的列表（list[Node]）。,BFS遍历，先得到整张图的信息（邻接表），再复原出原图的深拷贝。,√,,https://leetcode-cn.com/problems/clone-graph/
134,加油站,贪心算法、数组,medium,给定每一步的收益和开销，判断能否从某一个点出发，走完整一圈。,"1. 暴力算， O(n^2)
2. 一次遍历。从编号0开始，所有站里的油总量>=车子总油耗。如果刚好在k+1站没油，将起点设置为k+1",√,,https://leetcode-cn.com/problems/gas-station/
137,只出现一次的数字II,位运算,medium,给定一个非空整数数组，除了某个元素只出现一次以外，其余每个元素均出现了三次。找出那个只出现了一次的元素。,整体思路在算法笔记中有记录。核心思想在于创建一种三进制，满3变0，剩下的那个就是只出现一次的元素。,×,,https://leetcode-cn.com/problems/single-number-ii/
138,复制带随机指针的链表,哈希表、链表,medium,"给定一个链表，每个节点包含一个额外增加的随机指针，该指针可以指向链表中的任何节点或空节点。
要求返回这个链表的深拷贝。 ",两个哈希表、一个是反向的， 存每个节点被哪些节点所指（存下标）。另一个存复制后的每个节点应该指向第几个节点。,√√,,https://leetcode-cn.com/problems/copy-list-with-random-pointer/
139,单词拆分,动态规划,medium,给定一个非空字符串 s 和一个包含非空单词列表的字典 wordDict，判定 s 是否可以被空格拆分为一个或多个在字典中出现的单词。,维护一个dp数组来存储到当前字符为止，能否是一个可拆分的单词，对于每个新来的字母，向前搜索所有dp为true的字符作为断点，看截止到当前字母能否返回一个可拆分的词。时间复杂度O(n^2),√√,,https://leetcode-cn.com/problems/word-break/
142,环形链表II,双指针,medium,这次是要找到入环的点，但是不能用额外内存（即不能用哈希表存节点的指针）,做法是在找到环时（快慢指针相遇），固定相遇的点，让一个节点从头节点开始走，两个一人走一步，相遇的点即为入环点.,√,,https://leetcode-cn.com/problems/linked-list-cycle-ii/
144,二叉树的前序遍历,树、DFS,medium,rt,正常按迭代版先序遍历模板走就行。递归的话傻子都能写。,√√,,https://leetcode-cn.com/problems/binary-tree-preorder-traversal/
146,LRU缓存机制,设计,medium,运用你所掌握的数据结构，设计和实现一个  LRU (最近最少使用) 缓存机制。它应该支持以下操作： 获取数据 get 和 写入数据 put 。,核心在于使用哈希链表。以达成查找O(1) （哈希表的特性），增删也能O(1) （链表的特性）,×,,https://leetcode-cn.com/problems/lru-cache/
148,排序链表,排序、链表,medium,在 O(n log n) 时间复杂度和常数级空间复杂度下，对链表进行排序。,自底向上的归并排序，难点在于需要对链表反复断链和拼接。关键在于cut() 和 merge() 两个操作,√,,https://leetcode-cn.com/problems/sort-list/
150,逆波兰表达式,栈,medium,rt,栈的经典用法。,√√,,https://leetcode-cn.com/problems/evaluate-reverse-polish-notation/
152,乘积最大子序列,数组、动态规划,medium,给定一个整数数组 nums ，找出一个序列中乘积最大的连续子序列（该序列至少包含一个数）。,要注意一个负负得正的问题，这里需要存两个dp数组，一个存 当前的最小乘积，一个存当前最大乘积，不断更新到最后即可,√,,https://leetcode-cn.com/problems/maximum-product-subarray/
159,至多包含两个不同字符的最长字串,哈希表、双指针、字符串、滑动窗口,medium,给定一个字符串 s ，找出 至多 包含两个不同字符的最长子串 t 。,在滑动窗口辅助下搞一个哈希表，或者set。滑动窗口具体可以用双指针实现，一个在前面正常遍历字符串，另一个在当前窗口中字符数量超过2时持续跟进，直到符合要求为止。虽然是双重循环，但时间复杂度仍是O(n)，因为每个元素最多被拿进窗口一次，被拿出窗口一次。,√√,,https://leetcode-cn.com/problems/longest-substring-with-at-most-two-distinct-characters/
162,寻找峰值,二分查找,medium,返回数组的任意一个峰值。,二分查找。如果当前数处于上升状态，则往右边找，如果处于下降状态，则往左边找，注意处理头尾的特殊情况即可。,√√,,https://leetcode-cn.com/problems/find-peak-element/
173,二叉搜索树迭代器,栈、树、设计,medium,rt,"1. 一种方法是耍赖法直接将给定的BST遍历一遍，然后存到数组中。但是空间开销很大，实际上是违反了迭代器的设计原则的
2. 先写出迭代版中序遍历，再稍微拆分、修改一下即可实现迭代器版本。其实就是将正常迭代版中序遍历所用的栈作为一个全局变量。",√√,,https://leetcode-cn.com/problems/binary-search-tree-iterator/
179,最大数,排序,medium,给定一组非负整数，重新排列它们的顺序使之组成一个最大的整数。结果用字符串表示。,自定义比较函数来进行排序，当ab>ba时a应该放在b之前，反之a放在b之后,√√,,https://leetcode-cn.com/problems/largest-number/
199,二叉树的右视图,树、DFS、BFS,medium,给定一棵二叉树，想象自己站在它的右侧，按照从顶部到底部的顺序，返回从右侧所能看到的节点值。,其实就是层次遍历（或BFS），每次存正向遍历的结果，反向输出就行了。,√√,,https://leetcode-cn.com/problems/binary-tree-right-side-view/
200,岛屿数量,BFS、DFS、并查集,medium,给定一个由 '1'（陆地）和 '0'（水）组成的的二维网格，计算岛屿的数量。一个岛被水包围，并且它是通过水平方向或垂直方向上相邻的陆地连接而成的。你可以假设网格的四个边均被水包围。,"1. BFS
2. DFS
3. 并查集",√,,https://leetcode-cn.com/problems/number-of-islands/
201,按数字范围与,位运算,medium,"给定范围 [m, n]，其中 0 <= m <= n <= 2147483647，返回此范围内所有数字的按位与（包含 m, n 两端点）。","暴力法必超时，毕竟题中已经给了范围很大。
想象一下，数字范围的按位与，其实只要从m开始的所有数中，只要有一个数的某一位是0，那么结果中这一位必是0.
所以n比m多出来那部分肯定必是0，其实只要找到m和n的公共前缀即可。",×,,https://leetcode-cn.com/problems/bitwise-and-of-numbers-range/
207,课程表,拓扑排序,medium,给定课程总量以及它们的先决条件，判断是否可能完成所有课程的学习？,经典的拓扑排序问题。可以先根据adjList生成adjMatrix，再进行拓扑排序即可。,√,,https://leetcode-cn.com/problems/course-schedule/
208,实现Trie 前缀树,设计、字典树,medium,"实现一个 Trie (前缀树)，包含 insert, search, 和 startsWith 这三个操作。","树中的每个节点，TrieNode，都要维护一个字典，<char, TrieNode*>， 来存储所有的子节点",√√ ,,https://leetcode-cn.com/problems/implement-trie-prefix-tree/
210,课程表II,拓扑排序,medium,207题为判断题，看能否返回一个拓扑排序。这道题要求返回一个合理的拓扑排序结果，稍加修改即可。,,√√,,https://leetcode-cn.com/problems/course-schedule-ii/
211,添加与搜索单词-数据结构设计,设计、字典树、回溯,medium,设计一个支持 addWord(word)，和search(word)的数据结构。,直接使用Trie就行了，具体到每个节点，不要用哈希表存子节点，如果已知都是小写字母，直接用一个26定长数组存就行了。,√√,,https://leetcode-cn.com/problems/add-and-search-word-data-structure-design/
213,打家劫舍II,动态规划,medium,这个地方所有的房屋都围成一圈，这意味着第一个房屋和最后一个房屋是紧挨着的。同时，相邻的房屋装有相互连通的防盗系统，如果两间相邻的房屋在同一晚上被小偷闯入，系统会自动报警。 求在不触动报警装置的情况下，能够偷窃到的最高金额。,其实就是在打家劫舍普通版的基础上加了个成环的条件，只要将问题转化为分别求普通版0到n-1，以及1到n的最大值，再对这两个取最大值即可,√,,https://leetcode-cn.com/problems/house-robber-ii/
215,数组中第k个最大元素,堆、分治法,medium,在未排序的数组中找到第 k 个最大的元素。请注意，你需要找的是数组排序后的第 k 个最大的元素，而不是第 k 个不同的元素。,"1. 暴力法。O(nlogn)，O(1)
2. 使用最小堆，每当堆大小大于k，推出当前最小元素，O(nlogk)，空间O(1)
3. 快速选择算法（类似快排），时间平均O(n),空间O(1)",√,,https://leetcode-cn.com/problems/kth-largest-element-in-an-array/
220,存在重复元素III,排序、orderedMap,medium,给定一个整数数组，判断数组中是否有两个不同的索引 i 和 j，使得 nums [i] 和 nums [j] 的差的绝对值最大为 t，并且 i 和 j 之间的差的绝对值最大为 ķ。,暴力法超时。预排序可以过,√,,https://leetcode-cn.com/problems/contains-duplicate-iii/
227,基本计算器II,字符串,medium,实现一个基本的计算器来计算一个简单的字符串表达式的值。,"使用栈、一个存符号，一个存数字
中缀转后缀：
- 数字直接输出到后缀表达式
- 栈为空时，遇到运算符，直接入栈
- 遇到运算符，弹出所有优先级大于或等于该运算符的栈顶元素，并将该运算符入栈
- 合并两个栈，即生成了后缀表达式",√,,https://leetcode-cn.com/problems/basic-calculator-ii/
230,二叉搜索树中第k小的元素,树、二分查找,medium,给定一个二叉搜索树，编写一个函数 kthSmallest 来查找其中第 k 个最小的元素。,中序遍历，中序遍历的输出顺序刚好就是有小到大的,×,,https://leetcode-cn.com/problems/kth-smallest-element-in-a-bst/
236,二叉树的最近公共祖先,树,medium,"给定一个二叉树, 找到该树中两个指定节点的最近公共祖先。",递归遍历，使用字典存储每个节点的父指针，并用一个字典存储每个节点的深度。然后双指针从两个节点向上搜即可,√√,,https://leetcode-cn.com/problems/lowest-common-ancestor-of-a-binary-tree/
238,除自身以外数组的乘积,数组,medium,要求不能使用除法，时间O(n)，空间O(1)，输出数组不视为额外空间,两次遍历，先算每个数左侧的累积，再反向遍历一次算出每个数右侧的累积。,×,,https://leetcode-cn.com/problems/product-of-array-except-self/
240,搜索二维矩阵,二分查找、分治法,medium,"编写一个高效的算法来搜索 m x n 矩阵 matrix 中的一个目标值 target。该矩阵具有以下特性：
每行的元素从左到右升序排列。
每列的元素从上到下升序排列。","1. 暴力法 O(mn)。忽略了有序信息
2. 二分查找。O(nlgn)，分四块，递归搜索
3. 从角落开始迭代，一步一步挪动，非常巧妙的方法。O(m+n)
选左上角，往右走和往下走都增大，不能选
选右下角，往上走和往左走都减小，不能选
选左下角，往右走增大，往上走减小，可选
选右上角，往下走增大，往左走减小，可选",√ ,,https://leetcode-cn.com/problems/search-a-2d-matrix-ii/
241,为运算表达式设计优先级,分治法,medium,"给定一个含有数字和运算符的字符串，为表达式添加括号，改变其运算优先级以求出不同的结果。你需要给出所有可能的组合的结果。有效的运算符号包含 +, - 以及 * ",在能添加符号的地方尝试添加符号，然后递归左右两个子表达式。（这题是看了思路才写出来的，最好再联系一遍）,√,,https://leetcode-cn.com/problems/different-ways-to-add-parentheses/
244,最短单词距离II,设计、哈希表,medium,请设计一个类，使该类的构造函数能够接收一个单词列表。然后再实现一个方法，该方法能够分别接收两个单词 word1 和 word2，并返回列表中这两个单词之间的最短距离。您的方法将被以不同的参数调用 多次。,"哈希表，<word, vector<index>>， 然后遍历找就行了，也没什么别的办法",√√,,https://leetcode-cn.com/problems/shortest-word-distance-ii/
247,中心对称数II,递归、数学,medium,"中心对称数是指一个数字在旋转了 180 度之后看起来依旧相同的数字（或者上下颠倒地看）。
找到所有长度为n的中心对称数",分为奇偶两种情况讨论，而且还要考虑有些数不能放中间，如6或9，而且0不能放在头和尾。,√√,,https://leetcode-cn.com/problems/strobogrammatic-number-ii/
251,展开二维向量,设计,medium,请设计并实现一个能够展开二维向量的迭代器。该迭代器需要支持 next 和 hasNext 两种操作。、,题目341中，题解的人都是直接存，到这里又开始搞正经的迭代器了，扯淡。,√√,,https://leetcode-cn.com/problems/flatten-2d-vector/
253,会议室II,堆、排序、贪心,medium,"给定一个会议时间安排的数组，每个会议时间都会包括开始和结束的时间 [[s1,e1],[s2,e2],...] (si < ei)，为避免会议冲突，同时要考虑充分利用会议室资源，请你计算至少需要多少间会议室，才能满足这些会议安排。",排序后遍历所有区间，将冲突的单独拎出来继续遍历，直到没有冲突为止。遍历的次数就是需要的会议室的数量。,√√,,https://leetcode-cn.com/problems/meeting-rooms-ii/
260,只出现一次的数字III,位运算,medium,给定一个整数数组 nums，其中恰好有两个元素只出现一次，其余所有元素均出现两次。 找出只出现一次的那两个元素。,"注意这里有两个元素出现一次。
二分法，先整体求异或，然后异或得到的结果，取最低位的1，然后通过这个1，将数组分成两部分。两部分再分别异或就可分别得到两个结果。
原理在于这两个数的那个位必不相同，由此分出的两部分，必分别包含这两个数，而且其他数在这两个数组中都保证出现两次，这样分别异或的结果就必是这两个数。",√,,https://leetcode-cn.com/problems/single-number-iii/
261,以图判树,BFS、DFS、并查集,medium,给定从 0 到 n-1 标号的 n 个结点，和一个无向边列表（每条边以结点对来表示），请编写一个函数用来判断这些边是否能够形成一个合法有效的树结构。,"1. 用BFS做出，时间还不够快
2. 并查集，没看懂",√,,https://leetcode-cn.com/problems/graph-valid-tree/
264,丑数II,堆、数学、动态规划,medium,"编写一个程序，找出第n个丑数。
丑数就是只包含质因数2、3、5的正整数。",动态规划，维护三个指针，因为后边的丑数一定是前边丑数的2、3、或5倍，所以从前边丑数的基础上乘以2、3、5然后去最小的就可以。 ,×,,https://leetcode-cn.com/problems/ugly-number-ii/
274,H指数,排序、哈希表,medium,"给定一位研究者论文被引用次数的数组（被引用次数是非负整数）。编写一个方法，计算出研究者的 h 指数.
h 指数的定义: “h 代表“高引用次数”（high citations），一名科研人员的 h 指数是指他（她）的 （N 篇论文中）至多有 h 篇论文分别被引用了至少 h 次。（其余的 N - h 篇论文每篇被引用次数不多于 h 次。","题本身没有什么难度，关键在于能否理解题意。
直接排序然后遍历扫描就行了，时间复杂度O(nlogn)，空间复杂度O(n)",√√,,https://leetcode-cn.com/problems/h-index/
277,搜寻名人,数组,medium,给定一个 邻接表，在尽可能小的时间复杂度基础上，找到一个入度为n-1，出度为0的点。（除了自身不指向自身，其他点都指向它）,"1. 暴力法，对每个点进行一次行遍历和一次列遍历。时间复杂度O(n^2)
2. 贪心。先假设0为名人候选人，遍历其它人i，如果候选人认识i，则修改候选人为i。最后验证候选人是否是名人。
",√,,https://leetcode-cn.com/problems/find-the-celebrity/solution/277-sou-xun-ming-ren-by-guohaoding/
279,完全平方数,动态规划,medium,"给定正整数 n，找到若干个完全平方数（比如 1, 4, 9, 16, ...）使得它们的和等于 n。你需要让组成和的完全平方数的个数最少。","这里我只想出了O(n^2)的DP算法，超时。
实际上内层循环只需要考虑完全平方数就行了，所以应为O(nsqrt(n))",× ,,https://leetcode-cn.com/problems/perfect-squares/
280,摆动排序,排序、数组,medium,给你一个无序的数组nums，将该数组原地重排后使得nums[0] <= nums[1] >= nums[2] … ,直接排序，然后两两交换,√√,,https://leetcode-cn.com/problems/wiggle-sort/
281,锯齿迭代器,设计,medium,给出两个一维的向量，请你实现一个迭代器，交替返回它们中间的元素。,用一个变量记录当前该轮到哪个数组了，很简单,√√,,https://leetcode-cn.com/problems/zigzag-iterator/
284,顶端迭代器,设计,medium,"给定一个迭代器类的接口，接口包含两个方法： next() 和 hasNext()。设计并实现一个支持 peek() 操作的顶端迭代器.
其本质就是把原本应由 next() 方法返回的元素 peek() 出来。",白给题，不知道意义何在,√√,,https://leetcode-cn.com/problems/peeking-iterator/
285,二叉搜索树的顺序后继,树,medium,给你一个二叉搜索树和其中的某一个结点，请你找出该结点在树中顺序后继的节点。,"牢记：二叉搜索树的中序遍历的结果就是其中的元素按大小顺序输出的结果。
此题只要按中序遍历顺序，记录下上一个访问的节点，如果上一个访问的节点就是要找的，那当前节点即为要找的结果。",√√,,https://leetcode-cn.com/problems/inorder-successor-in-bst/
286,墙与门,广度优先搜索,medium,给一个网格，上边有空房间，门，和障碍物。要求给每个空房间填上其到最近的门的距离。,多源BFS,√,,https://leetcode-cn.com/problems/walls-and-gates/
287,寻找重复数,数组、双指针、二分查找,medium,"给定一个包含 n + 1 个整数的数组 nums，其数字都在 1 到 n 之间（包括 1 和 n），可知至少存在一个重复的整数。假设只有一个重复的整数，找出这个重复的数。
要求：原地算法，O(1)空间，时间小于O(nlogn)",这个题的二分查找是要对范围n做二分查找，而不是对原数组。对于1~n范围的数，遍历整个数组，看小于该数的数的数量和大于该数的数的数量是否是理想的，如果不满足条件，则Pivot就是要找的数,√√,,https://leetcode-cn.com/problems/find-the-duplicate-number/
288,单词的唯一缩写,设计、哈希表,medium,假设你有一个字典和一个单词，请你判断该单词的缩写在这本字典中是否唯一。若单词的缩写在字典中没有任何 其他 单词与其缩写相同，则被称为单词的唯一缩写。,用哈希表存字典中的单词和缩写就行 。,√√,,https://leetcode-cn.com/problems/unique-word-abbreviation/
289,生命游戏,数组,medium,看死细胞活细胞的题，状态转换。,原地标记算法，-1记为即将复活，0记为当前死下个状态还死，1记为当前活下个状态继续活，2记为当前活下个状态死。,√,,https://leetcode-cn.com/problems/game-of-life/solution/ren-sheng-ku-duan-de-yuan-di-biao-ji-suan-fa-java0/
300,最长上升子序列,动态规划,medium,给定一个无序的整数数组，找到其中最长上升子序列的长度。,"1. 动态规划。公式：dp[i] = max(dp[j])+1，dp数组中存储从开始到当前数字i并且包括数字i能形成的LIS长度。
2. 动态规划+二分查找。没看",×,,https://leetcode-cn.com/problems/longest-increasing-subsequence
310,最小高度树,广度优先搜索、图,medium,对于一个具有树特征的无向图，我们可选择任何一个节点作为根。图因此可以成为树，在所有可能的树中，具有最小高度的树被称为最小高度树。给出这样的一个图，写出一个函数找到所有的最小高度树并返回他们的根节点。,"1. 类似剥洋葱的方法，先从度数为1的节点开始，一层一层向内找，直到最后剩下的一个或两个点，就是要找的根节点。(跟拓扑排序很类似，只不过这里是无向无环图，而拓扑排序必须是有向无环图)
2. 还有一种方法是可以用两次dfs的交点，即为树的重心",√,,https://leetcode-cn.com/problems/minimum-height-trees/
313,超级丑数,堆、数学,medium,查找第n个超级丑数。超级丑数是所有质因数都是给定质数列表中的数。,维护一个优先队列，其实跟丑数的原理差不多，每次将队列首部元素拿出来，然后乘所有列表中的数，再塞回队列中。直到找到第n个数为止。,√,,https://leetcode-cn.com/problems/super-ugly-number/
